Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA
03/11/13,Everton,Tottenham,0,0,2.5,3.4,3,2.4,3.3,2.9,2.5,3.3,2.65,2.4,3.3,2.87,2.54,3.43,2.99,2.5,3,3,2.5,3.3,2.88,2.5,3.4,3
09/11/13,Aston Villa,Cardiff,2,0,2,3.5,4.2,1.91,3.4,4,2,3.3,3.6,1.95,3.5,3.75,2.01,3.48,4.25,2.05,3.1,4,1.91,3.5,4,2,3.5,4.2
09/11/13,Chelsea,West Brom,2,2,1.29,6,12,1.28,5.5,9.75,1.27,5.2,10,1.28,5.5,10,1.31,5.75,11.83,1.3,5,11,1.29,5.5,11,1.3,5.75,11
09/11/13,Crystal Palace,Everton,0,0,6.5,4,1.62,6,3.8,1.57,5.2,3.8,1.6,6.5,4,1.53,6.32,4.05,1.62,6,3.6,1.62,6.5,4,1.53,6,4.1,1.62
09/11/13,Liverpool,Fulham,4,0,1.25,6.5,15,1.26,5.5,11,1.25,5.5,10.3,1.25,5.5,12,1.27,6.25,14.18,1.25,5,15,1.22,6,13,1.25,6.5,15
09/11/13,Norwich,West Ham,3,1,2.63,3.3,2.9,2.4,3.25,2.95,2.4,3.2,2.85,2.4,3.3,2.9,2.57,3.26,3.09,2.62,3.1,2.8,2.5,3.3,2.88,2.55,3.3,3
09/11/13,Southampton,Hull,4,1,1.62,3.8,7,1.53,3.9,6.5,1.53,3.85,6,1.57,3.6,6.5,1.56,3.96,7.82,1.6,3.6,6.5,1.53,3.8,7,1.57,3.9,7.5
10/11/13,Man United,Arsenal,1,0,2.35,3.5,3.2,2.2,3.3,3.25,2,3.3,3.6,2.2,3.4,3.2,2.28,3.52,3.36,2.15,3.5,3.25,2.2,3.5,3.2,2.3,3.5,3.25
10/11/13,Sunderland,Man City,1,0,9,5,1.4,8.25,5,1.34,7.3,4.4,1.4,7.5,4.5,1.4,8.97,5.06,1.41,7.5,4.75,1.4,8,4.5,1.4,8.5,5,1.4
10/11/13,Swansea,Stoke,3,3,2,3.4,4.33,1.87,3.3,4.4,1.85,3.45,4,1.83,3.4,4.5,2,3.45,4.35,1.95,3.4,4,1.91,3.3,4.33,1.95,3.5,4.4
10/11/13,Tottenham,Newcastle,0,1,1.57,4.33,6.5,1.5,4.2,6.25,1.53,3.85,6,1.5,4.2,6.5,1.54,4.32,7.15,1.57,3.8,6,1.5,4.33,6.5,1.53,4.33,7
23/11/13,Arsenal,Southampton,2,0,1.62,4.2,6,1.57,4.1,5.5,1.55,3.9,5.6,1.57,4,6,1.61,4.21,6.18,1.67,3.3,6,1.62,4,5.5,1.62,4.1,6.25
23/11/13,Everton,Liverpool,3,3,3,3.4,2.5,2.85,3.25,2.45,2.75,3.2,2.5,2.8,3.3,2.5,2.99,3.4,2.56,3,2.9,2.62,2.88,3.4,2.4,2.9,3.4,2.6
23/11/13,Fulham,Swansea,1,2,3.3,3.3,2.38,3.1,3.3,2.25,2.9,3.3,2.3,3,3.25,2.37,3.48,3.27,2.34,3.1,3.1,2.4,3.13,3.2,2.38,3.3,3.3,2.4
23/11/13,Hull,Crystal Palace,0,1,1.85,3.5,5,1.8,3.3,4.75,1.8,3.5,4.2,1.83,3.4,4.5,1.87,3.49,5.07,1.83,3.2,5,1.83,3.4,4.8,1.87,3.5,4.8
23/11/13,Newcastle,Norwich,2,1,1.8,3.8,4.75,1.72,3.7,4.75,1.75,3.5,4.5,1.75,3.75,4.5,1.81,3.84,4.85,1.83,3.2,5,1.73,3.8,4.8,1.8,3.7,5
23/11/13,Stoke,Sunderland,2,0,2.15,3.3,3.9,2,3.3,3.8,1.9,3.45,3.8,2.15,3.1,3.75,2.13,3.21,4.17,2.15,3,3.8,2.1,3.25,3.75,2.15,3.3,3.9
23/11/13,West Ham,Chelsea,0,3,6,4.2,1.62,5.5,3.7,1.62,5.4,3.7,1.6,5.5,3.75,1.61,6.2,4.14,1.62,6,3.6,1.62,5.5,4,1.62,5.75,4.1,1.65
24/11/13,Cardiff,Man United,2,2,6,4,1.65,5.5,3.9,1.6,5.6,3.9,1.55,6,4,1.57,5.67,4.01,1.68,6,3.4,1.67,5.5,4,1.62,5.5,4,1.67
24/11/13,Man City,Tottenham,6,0,1.7,4,5.5,1.62,4,5,1.6,3.7,5.4,1.7,3.6,5,1.68,3.93,5.9,1.73,3.3,5.5,1.67,3.8,5,1.7,4,5.4
25/11/13,West Brom,Aston Villa,2,2,2.15,3.4,3.8,1.95,3.5,3.75,2.15,3.3,3.2,2.1,3.25,3.5,2.14,3.4,3.88,2.15,3.1,3.6,2,3.5,3.75,2.15,3.5,3.6
30/11/13,Aston Villa,Sunderland,0,0,2,3.4,4.33,1.95,3.5,3.75,1.9,3.45,3.8,1.9,3.4,4,2.05,3.44,4.14,2,3.3,3.8,1.95,3.4,4,2,3.5,4.2
30/11/13,Cardiff,Arsenal,0,3,6.5,4,1.62,5.25,4,1.6,5.4,3.7,1.6,5.5,4,1.57,6.32,4.12,1.61,6,3.4,1.67,5.5,4,1.62,5.75,4.1,1.65
